fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
1,2,1,9,0.0002583728794724,0.221083665891972,1.0,0.297958642577275,0.298499037855766,0.908438675125454,0.832855876166334,0.295092676488094,1.0,0.688005356313736,0.964851087766674,0.0154145813520235,0.293087248568184,0.713971519259735,-0.175202692743932,0.293925811284689,0.973078363268401
2,2,1,9,3.59660774171588e-05,0.223850756703108,0.997946454040228,0.0521566333398131,0.103767017411286,0.396453990112004,0.845318527827889,0.101886048803507,0.99818056289457,0.730168803535458,0.984840686443768,0.0026913933612549,0.0983804162379284,0.397229934624041,-0.166938930770992,0.0972258075770631,0.988228098156949
3,2,1,8,8.43655370026103e-06,0.259003880844011,0.983846797787174,0.255351074393917,0.705798265544243,0.56894886598369,0.913793944663717,0.705021526764503,0.991356976930571,0.892940274955885,0.978408701888143,0.013189397868124,0.704236285649395,0.503406196292481,-0.123271717736775,0.703668578033855,0.985032908359186
4,2,1,9,7.62474982811281e-05,0.39102335005932,0.835140707347181,0.147664545634252,0.498959716578165,0.631552620740784,0.889111651471821,0.496364791366988,0.951976671607905,1.40483362411432,0.837466662639027,0.0077917505984982,0.503791423871183,0.54201540358929,-0.138757327345918,0.485428213108578,0.933716111097023
5,2,1,10,1.9036092090335644e-05,0.0463204108861653,1.0,0.6417020314465431,1.0,0.6488451507978085,0.9531492802375268,1.0,1.0,-0.0055211444325263,0.993436245986988,0.0331057623025077,0.9934481684004904,0.5527314065026459,-0.0987234280952798,0.9934021733447024,0.9952501170695764
6,2,1,4,0.0062085783241907,0.275810697387103,0.954951375490335,0.0019046573167109,0.912220509244073,0.84380295146973,0.962112420337279,0.872484879717605,0.994291566301422,0.278586032041971,0.889000287463387,0.0017964526340786,0.86051273054083,0.645675917281174,-0.14912035400415,0.860773285420325,0.922406673933049
7,2,1,3,0.0011721852476674,0.418356750672898,0.318976866003913,0.0269136840829658,0.711042234790806,0.580714786460287,0.904393724354624,0.0380694459175959,0.99407482495808,1.31497239789117,0.284708990654939,0.0013578897116727,0.6714131769914,0.509146295261456,-0.129306814001923,0.0473352511592879,0.936202358340128
8,2,1,2,0.0003862972485249,0.588003193010733,0.858136972318284,0.0039437041218729,0.435246905022855,0.459239658213236,0.912659056623095,0.420953773693946,0.972469386569769,2.12487079658768,0.840497615762568,0.0004822967188897,0.428185367104045,0.43480894610352,-0.123227782319955,0.427572624599797,0.937101922784365
9,2,1,10,0.0144793125060653,0.8399335395030287,0.4011036049426782,0.0026238654530818,0.558727536278755,0.5501708456883085,0.9435566637925752,0.0987112478778582,0.9529337997359418,2.016565921083113,0.3623577446471384,0.0013394224596013,0.5267811839465579,0.4882734445499673,-0.1174106309501025,0.1047118795707916,0.8380057030864867
10,2,1,2,0.0003243703273754,0.386190202033891,0.924091368628991,0.022031344565253,0.706066038489447,0.423830062686916,0.931836736832102,0.631954678652697,0.998594467658996,1.35135589341302,0.925383338307284,0.0010997188646847,0.683385412922815,0.414591449297883,-0.114456084105482,0.646802520138405,0.959546080985222
