fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
1,3,1,7,5.2961608296368866e-05,0.18605298563644243,1.0,0.32466100344642895,0.28565335671062825,0.9240565729069379,0.6964164964682475,0.2813890662812982,1.0,0.5274360370564753,0.9859775069435236,0.026821162232522133,0.2845626079023694,0.8127789163005614,-0.2816050598669211,0.27497590812826933,0.9878188634900745
1,3,1,8,7.219433983943638e-05,0.18605298563644243,1.0,0.32466100344642895,0.28565335671062825,0.9240565729069379,0.6964164964682475,0.2813890662812982,1.0,0.5436818685343817,0.9821259488815123,0.026945353988979036,0.28569647430315614,0.8120724688338645,-0.28185506632531,0.27330436958066284,0.9864975939056189
1,3,1,9,9.40268622215419e-05,0.18605298563644243,1.0,0.32466100344642895,0.28565335671062825,0.9240565729069379,0.6964164964682475,0.2813890662812982,1.0,0.4976078568545256,0.9805916126970049,0.026897842386681664,0.2802243872097344,0.8133254986083481,-0.28173825501043165,0.2800441395565393,0.9837302014822285
2,3,1,7,0.0007179140134875235,0.2191377769765634,0.9980054707921329,0.012491202421263482,0.8851856332502507,0.5310042327052904,0.9404878932792241,0.884634841367582,0.9982416586808821,0.4478130762215813,0.948156002800637,0.0014075723247084107,0.8918788926441596,0.5948869071620857,-0.14789858373931083,0.8898344051832405,0.9717594559268576
2,3,1,8,0.0010722907653716097,0.2191377769765634,0.9980054707921329,0.012491202421263482,0.8851856332502507,0.5310042327052904,0.9404878932792241,0.884634841367582,0.9982416586808821,0.372040970750975,0.9376875858597953,0.0015159044458729334,0.8970991243605387,0.5932913514903844,-0.14761529583816052,0.8966949009488857,0.9638907471894553
2,3,1,9,0.001526430376866155,0.2191377769765634,0.9980054707921329,0.012491202421263482,0.8851856332502507,0.5310042327052904,0.9404878932792241,0.884634841367582,0.9982416586808821,0.28326489543985767,0.9296921486410669,0.0016414014697208356,0.9098977522651163,0.5919985156178674,-0.14701573712103452,0.9090233468271505,0.9600787379426502
3,3,1,7,2.8771587930714502e-05,0.21028250594744444,0.9797569270128615,0.22858807801280664,0.6811462825522799,0.7262650232826946,0.8283979040661524,0.6791352479024816,0.9889874662062855,0.7214572087104582,0.9711639683233843,0.01894404906484881,0.6778583308505951,0.7033268386617977,-0.20823328797431906,0.6789516700917531,0.9794331662591255
3,3,1,8,8.857265250521887e-05,0.21028250594744444,0.9797569270128615,0.22858807801280664,0.6811462825522799,0.7262650232826946,0.8283979040661524,0.6791352479024816,0.9889874662062855,0.6545043420750258,0.9643074426196576,0.01903481561554241,0.6799418555782638,0.7031187444249094,-0.20964482308367793,0.6759760851946809,0.9743013099189406
3,3,1,9,1.3700623433816938e-05,0.21028250594744444,0.9797569270128615,0.22858807801280664,0.6811462825522799,0.7262650232826946,0.8283979040661524,0.6791352479024816,0.9889874662062855,0.7611357659414131,0.9727830896418294,0.018904008380084575,0.6810289190943024,0.7031973335828368,-0.20934072437504989,0.676919317537726,0.9820317975508641
4,3,1,7,0.010958440736251546,0.4332924590534124,0.7398501788807871,0.026852342693587765,0.3288355789922341,0.7571967243957165,0.859938416695231,0.32614635495024097,0.9351866670710394,0.33254034679779804,0.7775190019573128,0.0025956296928556673,0.3406984617088574,0.7166927677808347,-0.19816309684484099,0.3229111477955775,0.841290962865218
